Turnir,od,do,EventID,Organizator(i),Direktor turnira,Glavni sudac,Zamjenik glavnog suca,Sudac,Lokacija,Tempo igre,FED,State,Zadnja izmjena,ekipe,n,Rd,Rd-Akt,DB-Key,System
"4. OTVORENI MEĐUNARODNI ŠAHOVSKI TURNIR DUBROVNIK ADVENT 2026Dubrovnik, Valamar Lacroma Dubrovnik Hotel, 17.12-20.12.2026.",20261217,20261220,0,"ŠK Dubrovnik, Dubrovnik","Ivan Potrebica (CRO, 14596024)","IA Sulejman Islamović (CRO, 14516659)",,,"Dubrovnik, Valamar Lacroma Dubrovnik Hotel, Iva Dulčića 34",60 minuta za cijelu partiju s dodatkom 30 sekundi po potezu počevši od prvog poteza (Fischer),CRO,,03.07.2026  20:59,0,39,7,0,1432775,Schweizer System
5. OPEN ARSENAL HVAR 2026,20261019,20261025,449461,Chess Club Hvar,Pavle Palić [CRO] [14515237],IA Nenad Dorić [CRO] [14501694],NA Mateo Petričević [CRO] [14553295] & NA Ilija Knezović [CRO] [14538474],NA Marija Bilješko [CRO] [14561484] & NA Ivan Potrebica [CRO] [14596024] & NA Neno Simunić [CRO] [14515709],"Hvar, Arsenal Hvar",90 minutes with an increment of 30 seconds per move starting as of move 1,CRO,,14.07.2026  14:47,0,138,9,0,1282073,Schweizer System
Zagreb Open 2026. - VIII. Memorijal Krunoslava Hulaka,20260920,20260927,1441656,Zagrebački šahovski savez,Saša Hunjak,Josip Bandur IA 14534002,,,"Kongresna dvorana Globus, Zagrebački velesajam, Avenija Dubrovnik 15, Zagreb",90 minuta + 30 sekundi dodatka po završenom potezu,CRO,,14.07.2026  08:22,0,20,9,0,1441656,Schweizer System
Morihana Wellness Chess Tour Croatia 2026 Selce-Crikvenica Hotel MARINA****Selce  26-30. August 2026,20260826,20260830,483274,"(753564) Jeszenszky Jozsef, AO  +36 30 640 3361","(738212) Szamoskozi Peter, IO","(922765) Brindza Istvan, IA",,,"Selce (CRO), E. Antica 73",90+90 minutes with 30 second increment from move 1 till the end game,CRO,,13.07.2026  21:46,0,19,7,0,1412103,Schweizer System
18. Open Hum na Sutli 2026Međunarodno otvoreno prvenstvo KZŽ-e (22.-29.8.2026.),20260822,20260829,467156,"Šahovski klub Straža, Hum na Sutli",Josip Krklec 14529211,"IA Radmila Švaljek,  14501759","IA Mirjana Medić,  14501619",,"Hum na Sutli, Vatrogasni dom DVD-Straža","90 minuta po igraču + dodatak od 30 sekundi za svaki potez, počevši od prvoga",CRO,,13.07.2026  18:50,0,24,9,0,1377319,Schweizer System
"Zadar Chess Festival, A-turnir, Zadar, 22.08.-29.08.2026.",20260822,20260829,476292,"ŠK Casper, Zadar",Veljko Šagi [CRO] [14528762],"Krunoslav Lesic, IA [CRO][14505258]","Nazi Hemati, FA [IRI][12535222], Marija Bilješko, NA [CRO][14561484]","Andrea Stojanović, NA (ks)[CRO][14534495]","Zadar, Centar za mlade Zadar, Stjepana Radića 11c","90'+30""",CRO,,14.07.2026  14:15,0,7,9,0,1393079,Schweizer System
"Zadar Chess Festival, B-turnir, Zadar, 22.08.-29.08.2026.",20260822,20260829,476293,"ŠK Casper, Zadar",Veljko Šagi [CRO] [14528762],"Krunoslav Lešić, IA [CRO][14505258]","Nazi Hemati, FA [IRI][12535222], Marija Bilješko, NA [CRO][14561484]","Andrea Stojanović, NA (ks)[CRO][14534495]","Zadar, Centar za mlade Zadar, Stjepana Radića 11c","90'+30""",CRO,,14.07.2026  14:15,0,27,9,0,1393080,Schweizer System
"Zadar Chess Festival, C-turnir, Zadar, 22.08.-29.08.2026.",20260822,20260829,476294,"ŠK Casper, Zadar",Veljko Šagi [CRO] [14528762],"Krunoslav Lešić, IA [CRO][14505258]","Nazi Hemati, FA [IRI][12535222], Marija Bilješko, NA [CRO][14561484]","Andrea Stojanović, NA [CRO][14534495]","Zadar, Centar za mlade Zadar, Stjepana Radića 11c","90'+30""",CRO,,14.07.2026  14:15,0,37,9,0,1393083,Schweizer System
"ŠESTI MEĐUNARODNI ŠAHOVSKI TURNIR OPEN ""GRADIŠTE"" 2026. 21-27. 08.2026.",20260821,20260827,0,ŠK Slavonac Gradište,"Srećko Papac, 4580926","Branko Vidačković, IA 14509229","Ivan Stojanović,  14532840 NA (ŽS)","Luka Akrap, 4585804, NA (KS)","Gradište, Zgrada za djecu,odrasle i umirovljenike Trg Hrvatskih Velikana 36",90 minutes with 30 seconds cumulative increment for each move starting from first move,CRO,,12.07.2026  10:43,0,66,9,0,1365583,Schweizer System
"15. SPLIT OPEN - ŠAHOVSKI FESTIVAL 2026    ""FINANCIALLY SUPPORTED BY FIDE""",20260806,20260814,0,Šahovski klub BRDA,Mateo Ivić,Vladimir Cvetnić IA,Denis Brulić IA,Marko Šekelja NA (DS) Tomaš Ante NA (DS),"Split, Hotel Zagreb , Put Duilova 23",90 minuta s dodatkom 30 sekundi po potezu počevši od prvog,CRO,,14.07.2026  13:39,0,147,10,0,1371053,Schweizer System
"MEMORIJALNI TURNIR IZIDOR GROSS 2026. - 11.7. od 17 sati- Karlovac, Mije Krešića 4",20260711,20260711,0,Karlovački šahovski klub,Željko Bedić,Dejan Glišić (WhatsApp 091-6030-341),,,"Karlovac, Mije Krešića 4",120',CRO,,08.07.2026  15:08,0,9,1,0,1440243,Schweizer System
Pojedinačno juniorsko prvenstvo Koprivničko-križevačke županije za 2026- juniori U19,20260710,20260711,487063,Šahovski savez Koprivničko-križevačke županije,Nikola Mihočka,"NA (ds) Borislav Vidović, 14533634",,"NA (ks) Lovro Koštić, 14544806 prijenos uživo","Prostorije ŠŠK Podravke, Ante Starčevića 15, Koprivnica",60 minuta plus 30 sekundi,CRO,,11.07.2026  15:55,0,9,5,5,1447674,Schweizer System
"9th International Chess Tournament, ""Solta Chess Open 2026"", Grohote, 23.06.-30.06.2026.",20260623,20260630,462315,"Chess Club Brda, Split","Mateo Ivic, FM [CRO] [14504146]","Mladen Bratosevic, IA [CRO] [14506203]","Krunoslav Lesic, IA [CRO] [14505258]","Mateo Petricevic, NA [CRO] [14553295], Ivan Potrebica, NA [CRO] [14596024]","Solta [CRO], Grohote, House of culture","90'+30""",CRO,,30.06.2026  13:09,0,75,9,9,1332976,Schweizer System
Pojedinacno prvenstvo Hrvatske za slijepe i slabovidne,20260622,20260628,0,HŠSSIS,,"Mijatovic, Zoran 14530791","IA Valkovic, Kristian 14513200","Valkovic, Valter 14514931",Premantura,120/40 + 30min,CRO,,28.06.2026  08:28,0,11,7,7,1442422,Schweizer System
POJEDINAČNO PRVENSTVO BPŽ 20.-22. LIPNJA 2026.,20260620,20260622,0,Šahovski savez Brodsko-posavske županije,,Ivan Đančević,,,"Gundinci, Ulica Stjepana Radića 2",60 minuta + 30 sekundi,CRO,,15.05.2026  14:44,0,0,6,0,1416105,Schweizer System
International Chess Tournament 38th Open Pula 2026- Hotel Park Plaza Histria (13.06.-21.06.2026.),20260613,20260621,451561,"CC Pula, Pula","Valter Valkovic (CRO, 14514931)","IA Kristian Valkovic (CRO, 14513200)",IA Lena Govedarica (942553); IA Sulejman Islamovic (14516659),IA Zoran Mijatovic 14530791; NA Valter Valkovic 14514931; NA Mile Ostojic 14586452; NA Husnija Saric 14509296,"Pula, Hotel Park Plaza Histria (Congress hall)",90 minutes with 30 second increment from move 1,CRO,,21.06.2026  14:16,0,263,9,9,1293430,Schweizer System
POJEDINAČNO JUNIORSKO PRVENSTVO DUBROVAČKO-NERETVANSKE ŽUPANIJE ZA 2026.,20260619,20260621,483479,Šahovski savez Dubrovačko-neretvanske županije,"Ivan Potrebica (14596024), Leonardo Jerković (334033448)",NA (žs) Leonardo Jerković (334033448),NA (ks) Ivan Potrebica (14596024),,"Dubrovnik, Prostorije ŠK Dubrovnik, Liechtensteinov put 12",60 minuta po igraču s dodatkom 30 sekundi po dovršenom potezu počevši od prvoga,CRO,,21.06.2026  20:07,0,7,5,5,1425376,Schweizer System
Pojedinačno kadetsko prvenstvo Hrvatske 2026  - kadeti do 7 godina -,20260612,20260615,0,Hrvatski šahovski savez,"Stjepan Novak, 14510936","IA Saša Stanković,  14511436","DS Mateo Stanković, 14539632",,"Čakovec, hotel Park,  Zrinsko-Frankopanska 14",30 minuta + 30 sekundi dodatka za svaki potez,CRO,,15.06.2026  11:33,0,28,9,9,1422272,Schweizer System
3. međunarodni turnir Ivanec open 2026,20260612,20260614,472051,Šahovski klub Ivanec,Ivica Friščić,"Predrag Križanić, županijski sudac","Mladen Hojsak, klupski sudac","Ivica Friščić, klupski sudac",Horvatsko kod Ivanca,60 min + 30 sek,CRO,,14.06.2026  17:05,0,80,7,7,1368961,Schweizer System
35. OBLJETNICA SMOTRE ZNG,20260530,20260531,480184,"ŠK Aer, Udruga BRANA",Dejan Glišić,"Dejan Glišić, NA",,,"Zagreb, Pavla Hatza 16","30'+30""",CRO,,03.06.2026  18:58,0,31,7,7,1409843,Schweizer System
POJEDINAČNO KADETSKO PRVENSTVO DUBROVAČKO-NERETVANSKE ŽUPANIJE ZA 2026. - U08 O,20260516,20260517,0,Šahovski savez Dubrovačko-neretvanske županije,"Ivan Potrebica (14596024), Leonardo Jerković (334033448)",NA (žs) Leonardo Jerković (334033448),,,"Dubrovnik, Hotel Kompas (dvorana Meridien), Kardinala Stepinca 21",30 minuta po igraču s dodatkom 30 sekundi po završenom potezu počevši od prvoga,CRO,,17.05.2026  11:15,0,9,5,5,1405485,Schweizer System
POJEDINAČNO KADETSKO PRVENSTVO DUBROVAČKO-NERETVANSKE ŽUPANIJE ZA 2026. - U10 O,20260516,20260517,0,Šahovski savez Dubrovačko-neretvanske županije,"Ivan Potrebica (14596024), Leonardo Jerković (334033448)",NA (žs) Leonardo Jerković (334033448),,,"Dubrovnik, Hotel Kompas (dvorana Meridien), Kardinala Stepinca 21",30 minuta po igraču s dodatkom 30 sekundi po završenom potezu počevši od prvoga,CRO,,17.05.2026  11:44,0,8,5,5,1400758,Schweizer System
POJEDINAČNO KADETSKO PRVENSTVO DUBROVAČKO-NERETVANSKE ŽUPANIJE ZA 2026. - U12 O,20260516,20260517,477296,Šahovski savez Dubrovačko-neretvanske županije,"Ivan Potrebica (14596024), Leonardo Jerković (334033448)",NA (žs) Leonardo Jerković (334033448),,,"Dubrovnik, Hotel Kompas (dvorana Meridien), Kardinala Stepinca 21",30 minuta po igraču s dodatkom 30 sekundi po završenom potezu počevši od prvoga,CRO,,17.05.2026  12:37,0,11,5,5,1401012,Schweizer System
POJEDINAČNO KADETSKO PRVENSTVO DUBROVAČKO-NERETVANSKE ŽUPANIJE ZA 2026. - U16 O,20260516,20260517,477291,Šahovski savez Dubrovačko-neretvanske županije,"Ivan Potrebica (14596024), Leonardo Jerković (334033448)",NA (žs) Leonardo Jerković (334033448),,,"Dubrovnik, Hotel Kompas (dvorana Meridien), Kardinala Stepinca 21",30 minuta po igraču s dodatkom 30 sekundi po završenom potezu počevši od prvoga,CRO,,17.05.2026  12:25,0,8,5,5,1398237,Schweizer System
PLAZMA Sportske igre mladih Splitsko dalmatinske županije do 15 godina,20260509,20260509,0,Borislav Vidović,Borislav Vidović,Ante Tomaš,,,Split,10 min + 5 sec,CRO,,09.05.2026  12:45,0,9,5,5,1411766,Schweizer System
Prvomajski turnir  U1800 2 i 3 svibnja 2026,20260502,20260503,0,,Jergović Andrija [14514168],DS Jergović Andrija [14514168],,,Zagreb Bijenička cesta 97,30 minuta + 30 sekunde po dovšenom potezu,CRO,,03.05.2026  15:22,0,43,7,7,1391230,Schweizer System
Pojedinačno kadetsko prvenstvo Hrvatske 2026  - kadeti do 13 godina -,20260328,20260402,0,Hrvatski šahovski savez,"Ivica Brkić, 14505835","IA Saša Stanković,  14511436","DS Ante Tomaš, 14530929  DS Radoslav Derenčinović 14510804",,"Trogir, hotel Medena",90 minuta + 30 sekundi dodatka za svaki potez,CRO,,02.04.2026  13:23,0,48,9,9,1370390,Schweizer System
Pojedinačno kadetsko prvenstvo Hrvatske 2026  - kadeti do 15 godina -,20260328,20260402,0,Hrvatski šahovski savez,"Ivica Brkić, 14505835","IA Saša Stanković,  14511436","DS Ante Tomaš, 14530929  DS Radoslav Derenčinović 14510804",,"Trogir, hotel Medena",90 minuta + 30 sekundi dodatka za svaki potez,CRO,,02.04.2026  12:52,0,58,9,9,1370388,Schweizer System
Pojedinačno kadetsko prvenstvo Hrvatske 2026  - kadetkinje do 13 godina -,20260328,20260402,0,Hrvatski šahovski savez,"Ivica Brkić, 14505835","IA Saša Stanković,  14511436","DS Ante Tomaš, 14530929  DS Radoslav Derenčinović 14510804",,"Trogir, hotel Medena",90 minuta + 30 sekundi dodatka za svaki potez,CRO,,02.04.2026  12:53,0,16,9,9,1370392,Schweizer System
Pojedinačno kadetsko prvenstvo Hrvatske 2026  - kadetkinje do 15 godina -,20260328,20260402,0,Hrvatski šahovski savez,"Ivica Brkić, 14505835","IA Saša Stanković,  14511436","DS Ante Tomaš, 14530929  DS Radoslav Derenčinović 14510804",,"Trogir, hotel Medena",90 minuta + 30 sekundi dodatka za svaki potez,CRO,,02.04.2026  12:51,0,21,9,9,1370391,Schweizer System
Pojedinačno kadetsko prvenstvo Hrvatske u šahu  do 11 godina Ž,20260328,20260402,0,Hrvatski šahovski savez u suradnji sa Šahovskim savezom Splitsko-dalmatinske žup,"Ivica Brkić, 14505835","FA Anto Majić, 14522411","NA (ds) Borislav Vidović, 14533634","NA (žs) Ana Berke, 14510359","Trogir, Hotel Medena",90 min. fiksnog vremana po igraču + dodatak od 30 sec. za svaki završeni potez počevši od prvoga,CRO,,02.04.2026  12:21,0,12,9,9,1370612,Schweizer System
Pojedinačno kadetsko prvenstvo Hrvatske u šahu do 11  godina M,20260328,20260402,0,Hrvatski šahovski savez u suradnji sa Šahovskim savezom Splitsko-dalmatinske žup,"Ivica Brkić, 14505835","FA Anto Majić, 14522411","NA (ds) Borislav Vidović, 14533634","NA (žs) Ana Berke, 14510359","Trogir, Hotel Medena","90 min. fiksnog vremena po igraču + dodatak od 30 sec, za svaki završeni potez",CRO,,02.04.2026  13:22,0,46,9,9,1370611,Schweizer System
Pojedinačno kadetsko prvenstvo Hrvatske u šahu za 2026. godinu M9,20260328,20260402,0,Hrvatski šahovski savez u suradnji sa Šahovskim savezom Splitsko-dalmatinske žup,"Ivica Brkić, 14505835","FA Anto Majić, 14522411","NA (ds) Borislav Vidović, 14533634","NA (žs) Ana Berke, 14510359","Trogir, Hotel Medena",90 min. fiksnog vremena po igraču + dodatak od 30 sec. za svaki završeni potez počevši od prvoga,CRO,,02.04.2026  11:20,0,36,9,9,1370613,Schweizer System
Pojedinačno kadetsko prvenstvo u šahu za 2026. godinu Ž9,20260328,20260402,0,Hrvatski šahovski savez u suradnji sa Šahovskim savezom Splitsko-dalmatinske žup,"Ivica Brkić, 14505835","FA Anto Majić, 14522411","NA (ds) Borislav Vidović, 14533634","NA (žs) Ana Berke, 14510359","Trogir, Hotel Medena",90 min. fiksnog vremena po igraču + dodatak od 30 sec. za svaki završeni potez počevši od prvoga,CRO,,02.04.2026  12:23,0,18,9,9,1370614,Schweizer System
64. prvenstvo Dubrovnika za 2026. godinu,20260227,20260308,464803,Šahovski klub Dubrovnik,Leonardo Jerković (334033448),NA (žs) Leonardo Jerković (334033448),,,"Dubrovnik, Liechtensteinov put 12",60'+30'',CRO,,08.03.2026  17:00,0,17,7,7,1342467,Schweizer System
Prvenstvo Sibenika 2026 - Turnir B,20260205,20260305,0,,Miro Tesla,FA Stipe Lacmanović,"Branimir Šupe, NenadPetković",,Šibenik,90 min + 30 sec,CRO,,05.03.2026  22:14,0,20,9,9,1346056,Schweizer System
Prvenstvo PGŽ za mlade 2026 do 11 god. Mkadeti rođeni 2015 i mlađi,20260228,20260301,0,Šahovski savez PGŽ,"Ivan Mandekić, Nikola Sundać","Dušan Pijanović, NA (ds), 14514117","Nenad Jurman NA (ds),  14533421","Radoslav Derenčinović, NA (ds) 14510804","Rijeka, Šahovski dom, Blaža Polića 2/II",30 min +30 sec po potezu,CRO,,01.03.2026  12:15,0,7,6,6,1359738,Schweizer System
Prvenstvo PGŽ za mlade 2026 do 11 god. Žkadetkinje rođene 2015 i mlađe,20260228,20260301,0,Šahovski savez PGŽ,"Ivan Mandekić, Nikola Sundać","Dušan Pijanović, NA (ds), 14514117","Nenad Jurman NA (ds),  14533421","Radoslav Derenčinović, NA (ds) 14510804","Rijeka, Šahovski dom, Blaža Polića 2/II",30 min +30 sec po potezu,CRO,,01.03.2026  12:19,0,9,6,6,1359739,Schweizer System
Prvenstvo PGŽ za mlade 2026 do 15 god. MŽkadeti rođeni 2011. i mlađi,20260228,20260301,0,Šahovski savez PGŽ,"Ivan Mandekić, Nikola Sundać","Dušan Pijanović, NA (ds), 14514117","Nenad Jurman NA (ds),  14533421","Radoslav Derenčinović, NA (ds) 14510804","Rijeka, Šahovski dom, Blaža Polića 2/II",30 min +30 sec po potezu,CRO,,01.03.2026  13:19,0,16,6,6,1359734,Schweizer System
Prvenstvo PGŽ za mlade 2026 do 19 god. MŽjuniorke i juniori  rođeni 2007. i mlađi,20260228,20260301,0,Šahovski savez PGŽ,"Ivan Mandekić, Nikola Sundać","Dušan Pijanović, NA (ds), 14514117","Nenad Jurman NA (ds),  14533421","Radoslav Derenčinović, NA (ds) 14510804","Rijeka, Šahovski dom, Blaža Polića 2/II",60 min +30 sec po potezu,CRO,,01.03.2026  20:12,0,11,6,6,1359732,Schweizer System
"Pojedinačno kadetsko i juniorsko prvenstvo ŠS VSŽ za 2026.-/M12/, Štitar, 28.02.-01.03.2026.",20260228,20260301,0,"ŠK Dukat, Štitar i ŠK Šahovski centar, Županja",Ivan Filipović [14513790],"Krunoslav Lešić, IA, IO [14505258]","Sanja Konjević, NA (žs) [14593076]",,"Štitar, Dom kulture, J. J. Strossmayera 36","60'+30""",CRO,,01.03.2026  16:18,0,9,6,6,1360031,Schweizer System
"Pojedinačno kadetsko i juniorsko prvenstvo ŠS VSŽ za 2026.-/M16/, Štitar, 28.02.-01.03.2026.",20260228,20260301,0,"ŠK Dukat, Štitar i ŠK Šahovski centar, Županja",Ivan Filipović [14513790],"Krunoslav Lešić, IA, IO [14505258]","Sanja Konjević, NA (žs) [14593076]",,"Štitar, Dom kulture, J. J. Strossmayera 36","60'+30""",CRO,,01.03.2026  16:18,0,15,6,6,1360032,Schweizer System
Pojedinačno kadetsko prvenstvo Koprivničko-križevačke županije za 2026-M11,20260221,20260222,467505,Šahovski savez Koprivničko-križevačke županije,Nikola Mihočka,"Borislav Vidović, NA (ds)","Petrica Koštić, NA (žs)","Goran Kušec, NA (ks), Lovro Koštić, NA(ks)","Starigrad, Dom kulture",30+30 / 30 minuta za cijelu partiju uz dodatak od 30 sekundi po potezu počevši od prvog (Fischer),CRO,,21.02.2026  14:31,0,12,5,5,1355174,Schweizer System
Pojedinačno kadetsko prvenstvo Koprivničko-križevačke županije za 2026-M13,20260221,20260222,467507,Šahovski savez Koprivničko-križevačke županije,Nikola Mihočka,"Borislav Vidović, NA (ds)","Petrica Koštić, NA (žs)","Goran Kušec, NA (ks), Lovro Koštić, NA (ks)","Starigrad, Dom kulture",30+30 / 30 minuta za cijelu partiju uz dodatak od 30 sekundi po potezu počevši od prvog (Fischer),CRO,,21.02.2026  16:35,0,8,5,5,1355162,Schweizer System
Prvenstvo PGŽ za mlade 2026 do 13 god. Mkadeti rođeni 2013 i mlađi,20260221,20260221,0,Šahovski savez PGŽ,"Ivan Mandekić,Nikola Sundač","Dušan Pijanović, DS, 14514117",,"Radoslav Derenčinović,14510804","Rijeka, Šahovski dom, Blaža Polića 2/II",60 min +30 sek. po potezu,CRO,,23.02.2026  12:19,0,11,6,6,1354844,Schweizer System
Prvenstvo županije Splitsko - dalmatinske u šahu za 2026. godinu,20260213,20260221,463120,Šahovski savez županije Splitsko - dalmatinske,Božo Mišković [14512742],NA Mateo Petričević [14553295],NA Ivo Ivanković [14504138],,"Ulica Antuna Branka Šimića 52 i 54, Split (prostorije ŠK Brda i ŠK Mornar)",60 minuta za cijelu partiju s dodatkom od 30 sekunda po potezu počevši od prvoga poteza,CRO,,21.02.2026  20:01,0,45,9,9,1282099,Schweizer System
"25. Memorijal ""Milan Kuzmanović""",20260119,20260216,0,ŠK.Pula,Kristian Valković IA,Valter Valković NA,Mile Ostojić,,Pula,90 min + 30 sec po potezu,CRO,,20.02.2026  20:45,0,13,9,9,1336303,Schweizer System
New Zagreb Classic 2026 - Open A,20260130,20260201,447326,"ŠK Novi Zagreb, https://www.sknovizagreb.hr/","Andrej Stanković, FI [CRO][14513501], Mario Živić - zamjenik direktora turnira","Krunoslav Lešić, IA, IO [CRO][14505258]","Mladen Bratošević, IA [CRO][14506203], Slobodan Barkidžija, NA [CRO][79304389]","Vlado Karagić, FA [CRO][14517884], Borislav Vidović, NA [CRO][14533634], Mateo Petričević, NA [CRO][14553295], Matija Čubrilo, NA [CRO][14597063], Marija Bilješko, NA [CRO][14561484], Mladen Nagl, NA [CRO][14506726], Matej Friščić, NA [CRO][14578980]","Zagreb, hotel Sheraton, Kneza Borne 2","90'+30""",CRO,,01.02.2026  19:31,0,106,5,5,1272461,Schweizer System
New Zagreb Classic 2026 - Open B,20260130,20260201,447327,"ŠK Novi Zagreb, https://www.sknovizagreb.hr/","Andrej Stanković, FI [CRO][14513501], Mario Živić - zamjenik direktora turnira","Krunoslav Lešić, IA, IO [CRO][14505258]","Mladen Bratošević, IA [CRO][14506203], Slobodan Barkidžija, NA [CRO][79304389","Vlado Karagić, FA [CRO][14517884], Borislav Vidović, NA [CRO][14533634], Mateo Petričević, NA [CRO][14553295], Matija Čubrilo, NA [CRO][14597063], Marija Bilješko, NA [CRO][14561484], Mladen Nagl, NA [CRO][14506726], Matej Friščić, NA [CRO][14578980]","Zagreb, hotel Sheraton, Kneza Borne 2","90'+30""",CRO,,01.02.2026  19:31,0,103,5,5,1272460,Schweizer System
New Zagreb Classic 2026 - Open C,20260130,20260201,447328,"ŠK Novi Zagreb, https://www.sknovizagreb.hr/","Andrej Stanković, FI [CRO][14513501], Mario Živić - zamjenik direktora turnira","Krunoslav Lešić, IA, IO [CRO][14505258]","Mladen Bratošević, IA [CRO][14506203], Slobodan Barkidžija, NA [CRO][79304389","Vlado Karagić, FA [CRO][14517884], Borislav Vidović, NA [CRO][14533634], Mateo Petričević, NA [CRO][14553295], Matija Čubrilo, NA [CRO][14597063], Marija Bilješko, NA [CRO][14561484], Mladen Nagl, NA [CRO][14506726], Matej Friščić, NA [CRO][14578980]","Zagreb, hotel Sheraton, Kneza Borne 2","90'+30""",CRO,,01.02.2026  19:31,0,94,5,5,1272459,Schweizer System
New Zagreb Classic 2026 - Open D,20260130,20260201,447330,"ŠK Novi Zagreb, https://www.sknovizagreb.hr/","Andrej Stanković, FI [CRO][14513501], Mario Živić - zamjenik direktora turnira","Krunoslav Lešić, IA, IO [CRO][14505258]","Mladen Bratošević, IA [CRO][14506203], Vlado Karagić, FA [CRO], [14517884]","Slobodan Barkidžija, NA [CRO][79304389], Borislav Vidović, NA [CRO][14533634], Mateo Petričević, NA [CRO][14553295], Matija Čubrilo, NA [CRO][14597063], Marija Bilješko, NA [CRO][14561484], Mladen Nagl, NA [CRO][14506726], Matej Friščić, NA [CRO][14578980]","Zagreb, hotel Sheraton, Kneza Borne 2","90'+30""",CRO,,01.02.2026  19:31,0,102,5,5,1272458,Schweizer System
New Zagreb Classic 2026 - Open E,20260130,20260201,447332,ŠK Novi Zagreb,"Andrej Stanković, FI [CRO][14513501], Mario Živić - zamjenik direktora turnira","Krunoslav Lešić, IA, IO [CRO][14505258]","Mladen Bratošević, IA [CRO][14506203], Vlado Karagić, FA [CRO][14517884]","Slobodan Barkidžija, NA [CRO][79304389],  Borislav Vidović, NA [CRO][14533634], Mateo Petričević, NA [CRO][14553295], Matija Čubrilo, NA [CRO][14597063], Marija Bilješko, NA [CRO][14561484], Mladen Nagl, NA [CRO][14506726], Matej Friščić, NA [CRO][14578980]","Zagreb, hotel Sheraton, Kneza Borne 2","90'+30""",CRO,,01.02.2026  19:30,0,101,5,5,1272457,Schweizer System
Grand Prix HŠS 2026.,20260124,20260131,457912,HSS,"IM Jukic, Branimir [14500671]","IA Rezek, Sinisa [14516594]","NA Mihalinec, Damir [14504260]",,"Zagreb (CRO), Hotel Dubrovnik, Ljudevita Gaja 1",90 minuta za 40 poteza + 15 minuta za ostatak partije + 30 sekundi za svaki završeni potez počevši 1,CRO,,31.01.2026  20:22,0,16,28,28,1335212,Schweizer System
"Biosamdobiven 2026 - B turnir, Županja, 17.-18.01.2026.",20260117,20260118,0,ŠK Šahovski centar,"Krunoslav Lešić, IO [CRO][14505258]","Krunoslav Lešić, IO [CRO][14505258]",,,"Županja, MKC, Bana Josipa Jelačića 4","60'+30""",CRO,,18.01.2026  18:08,0,10,6,6,1318898,Schweizer System
"Biosamdobiven 2026 - C turnir, Županja, 17.-18.01.2026.",20260117,20260118,0,ŠK Šahovski centar,"Krunoslav Lešić, IO [CRO][14505258]","Krunoslav Lešić, IO [CRO][14505258]",,,"Županja, MKC, Bana Josipa Jelačića 4","60'+30""",CRO,,18.01.2026  16:58,0,15,6,6,1318899,Schweizer System
FIDE STANDARD <1800 ŠK Aer,20260117,20260118,455714,ŠK Aer,Dejan Glišić,"Dejan Glišić, KS",,,Zagreb,"30'+30""",CRO,,18.01.2026  22:03,0,24,6,6,1311342,Schweizer System
KADETSKO PRVENSTVO SMŽ 2026-1,20260117,20260118,0,ŠAHOVSKI SAVEZ SMŽ,MILAN BRIGLJEVIĆ,MILAN BRIGLJEVIĆ,,,,30+30,CRO,,18.01.2026  15:03,0,9,6,6,1335087,Schweizer System
"Međunarodni otvoreni šahovski turnir,14. open Krapina 16.-18.1.2026.",20260116,20260118,448216,Šahovski klub Krapina,Mirjana Medić,Mirjana Medić IA (14501619),Radmila Švaljek IA (14501759),,"Vatrogasni dom, Zagrebačka 1, Krapina",60' + 30'',CRO,,18.01.2026  17:07,0,58,7,7,1277893,Schweizer System
16. TOP 10 KADETA ŠK RIJEKA,20260109,20260111,0,Chess Club Rijeka,"Zelenika, Srdjan 14501350","IA Birk, Bojan 14527677","NA Pijanovic, Dusan 14514117",,"Rijeka, Šahovski dom, Blaža Polića 2/2",60 min + 30 sec,CRO,,11.01.2026  15:53,0,10,6,6,1326539,Schweizer System
Standard Zima 2026 U1800 Dubrovnik,20260109,20260111,455855,Šahovski klub Dubrovnik,"Leonardo Jerković (334033448), Ivana Perak (79306187)",NA (ks) Leonardo Jerković (334033448),NA (ks) Ivan Potrebica (14596024),,"Dubrovnik, Liechtensteinov put 12",30'+30'',CRO,,12.01.2026  07:45,0,20,7,7,1313853,Schweizer System
"MEĐUNARODNI OTVORENI ŠAHOVSKI TURNIR ""30th Open BOŠNJACI"", 03-09.01.2026",20260103,20260109,0,Chess club Bosnjaci Bošnjaci,"Đuka Golubičić, 14530740","Branko Vidačković, IA 14509229","Eduard Piacun,IA 14508877 Ivica Leaković,IA 14504707","Adam Ilišević,KS CRO [14509954],","Kino dvorana dom kulture, Bošnjaci",90 minutes with 30 seconds cumulative increment for each move starting from first move,CRO,,09.01.2026  14:15,0,141,9,9,1274599,Schweizer System
1. OTVORENO ZIMSKO PRVENSTVO  GRADA SPLITA,20260102,20260108,0,ŠK. Brda Split i ŠK Mornar Split,Mateo Ivić,"IA Cvetnic, Vladimir 14516950","IA Brulic, Denis 14506670,","Ivic, Mateo 14504146",,60 minuta + 30 sekundi po potezu počevši od prvog,CRO,,08.01.2026  20:32,0,46,7,7,1317385,Schweizer System
